MAP_x,MAP_y,UTM_x,UTM_y
0.0,0.0,935698.8489728284,1915491.7866198418
0.0,0.0,935756.6174769269,1915595.3906410446
0.0,0.0,935814.6169463873,1915615.7493466178
0.0,0.0,935779.5825678463,1915647.4932859947
0.0,0.0,935728.6633259129,1915662.0734353361
0.0,0.0,935800.6466943889,1915692.321286247
0.0,0.0,935839.2757394975,1915803.5280278563
0.0,0.0,935842.6275399647,1915932.1128031504
0.0,0.0,935882.9151508639,1915928.6316591308
0.0,0.0,935774.9269078368,1915930.3453651902
0.0,0.0,935831.8912745486,1916041.8000439522
